SYMBOL,PRICE,STRATEGY,DTE,Strikes,Price Open,Price Mgmt,Price Close,PnL,POP,DELTA,GAMMA,THETA,VEGA,Date Open,Date Close
EBAY,39.63,SHORT PUT VERTICAL,4,35/37,0.24,,-0.08,0.16,79%,11.88,-4.12,4.000,-0.61,4/27/2020,4/30/2020
FB,187.50,SHORT PUT VERTICAL,18,172.5 / 175,0.60,,-0.40,0.20,72%,3.54,-0.12,1.337,-1.08,4/27/2020,4/28/2020
April 28,,,,,,,,,,,,,,,
April 29,,,,,,,,,,,,,,,
HTZ,,SHORT STRANGLE ROLL,9,1/2,0.18,,-0.34,-0.16,64%,-5.01,-29.53,6.550,-0.42,4/29/2020,5/7/2020
BA,ROLLD,ROLL LONG PUT BUTTERFLY,2,135 / 140 / 145,-0.8,,2.0,1.2,63%,2.18,-1.71,14.433,-1.66,4/29/2020,5/1/2020
MCD,,SHORT IRON CONDOR,2,180 - 182.5 - 200 - 202.5,0.49,,-0.18,0.31,76%,5.21,-4.9,10.381,-0.29,4/29/2020,4/30/2020
April 30,,,,,,,,,,,,,,,
BYND,,SHORT IRON CONDOR,7,65 - 70 - 120 - 125,0.71,,-0.65,0.06,,,,,,5/1/2020,5/1/2020
TEVA,,STRANGLE,14,8.5 - 13,0.21,,-0.15,0.06,74%,4.73,-22.17,3.006,-0.92,5/1/2020,5/5/2020
ZM,,SHORT IRON CONDOR,49,100-110-180-190,3.69,,-3.50,0.19,58%,0.86,-0.23,4.222,-0.23,5/1/2020,5/4/2020
NVDA,,SHORT IRON CONDOR,49,215-220-350-355,1.17,,-1.11,0.06,71%,-0.23,-0.07,2.219,-0.07,5/1/2020,5/5/2020
FB,,SHORT IRON CONDOR,49,160-170-240-250,1.15,,-1.10,0.05,79%,1.62,-0.46,2.7,-8.39,5/1/2020,5/4/2020
SPY,,LONG PUT,31,265,-5.82,,5.92,0.1,21%,-26.24,1.02,-16.20,27.33,5/1/2020,5/4/2020
BA,,CUSTOM,14,135 -  140 - 146,-1.2,,-0.86,-2.06,76%,-22.45,-1.66,24.135,-9.45,5/1/2020,5/7/2020
BA,,LONG PUT BUTTERFLY,49,115-125-130,1.26,,1.20,2.46,76%,4.45,-0.09,1.145,-1.64,5/1/2020,5/7/2020
/NG,,SHORT IRON CONDOR,55,1.4 - 1.5 - 2.85 - 2.95,0.014,,-0.013,0.001,80%,-19.19,-0.12,2.957,-5.26,5/1/2020,5/6/2020
May 4,,,,,,,,,,,,,,,
SQ,,SHORT IRON CONDOR,4,47 - 50 - 72 -75,3.44,,-1.6,1.84,84%,-4.60,-1.59,7.668,-0.83,5/4/2020,5/7/2020
BYND,,SHORT IRON CONDOR,4,92.5 - 93 - 110 - 115,7.07,,-9.95,-2.88,80%,-6.23,-0.34,8.571,-0.63,5/4/2020,5/7/2020
QQQ,,SHORT IRON CONDOR,4,203 - 205 - 220 -222,1.16,,-1.56,-0.4,65%,-5.80,-1.39,8.819,-2.86,5/4/2020,5/7/2020
ROKU,,SHORT PUT VERTICAL,4,99 - 100,0.12,,-0.08,0.04,88%,0.76,-0.05,2.254,-0.16,5/4/2020,5/6/2020
VXX,,CALENDAR SPREAD,4,44 - 44,-0.88,,0.50,-0.38,-,9.02,-1.42,4.476,1.18,5/4/2020,5/7/2020
May 5,,,,,,,,,,,,,,,
W,,FRANKENSTEIN SPREAD,3,115-126-141-150-190,34.66,,-29.74,4.92,84%,-25.16,-2.52,127.945,-9.16,5/5/2020,5/7/2020
UBER,,SHORT CALL,3,,0.20,,-0.15,0.05,86%,-12.10,-5.48,8.838,-0.60,5/5/2020,5/6/2020
May 6,,,,,,,,,,,,,,,
May 7,,,,,,,,,,,,,,,
DIS,,SHORT STRANGLE,2,102-108,0.94,,-0.61,0.33,,,,,,5/7/2020,5/8/2020
UBER,,SHORT PUT BUTTERFLY,14,27-30-33,0.63,,-0.53,0.1,63%,13.68,0.14,-1.02,0.3,5/7/2020,5/12/2020
May 8,,,,,,,,,,,,,,,
DOCU,,SHORT IRON CONDOR,7,100-115-120-135,4.60,,-3.84,0.76,58%,5.08,-7.72,29.443,-10.56,5/8/2020,5/11/2020
NVDA,,SHORT IRON CONDOR,42,250-260-350-360,11.04,,-11.67,-0.63,62%,-2.46,-0.16,5.134,-9.12,5/8/2020,5/27/2020
ZM,,SHORT IRON CONDOR,7,136-145-170-180,4.93,,-4.68,0.25,63%,1.01,-1.70,24.457,-5.84,5/8/2020,5/15/2020
IWM,,SHORT IRON CONDOR,7,112-128-138-148 / 120-104-108-110,3.71,,-2.42,1.29,63%,-10.15,-11.63,38.587,-16.32,5/8/2020,5/20/2020
FNV,,SHORT PUT BUTTERFLY,7,135 - 140 - 150,4.50,,-4.45,0.05,40%,26.96,2.31,-9.103,4.02,5/8/2020,5/14/2020
May 11,,,,,,,,,,,,,,,
BIDU,,SHORT IRON CONDOR,4,92-95-105-108,0.56,,-0.2,0.36,68%,2.46,-4.47,8.226,-2.47,5/11/2020,5/15/2020
BABA,,SHORT PUT BUTTERFLY,4,195-202.5-205,0.70,,0.78,1.48,75%,13.90,-1.76,13.84,-3.80,5/11/2020,5/15/2020
CRM,,SHORT PUT VERTICAL,4,170-175,0.49,,-0.49,0,83%,9.61,-1.42,8.034,-2.36,5/11/2020,5/29/2020
May 12,,,,,,,,,,,,,,,
TSLA,,SHORT PUT VERTICAL,3,750-755,0.25,,0.00,0.25,83%,1.84,-0.04,11.666,-1.71,5/12/2020,5/15/2020
May 13,,,,,,,,,,,,,,,
SPY,,LONG PUT VERTICAL,2,277-280,-2.46,,0.79,-1.67,34%,-22.88,5.96,-35,3.36,5/13/2020,5/21/2020
May 14,,,,,,,,,,,,,,,
May 15,,,,,,,,,,,,,,,
QQQ,,SHORT PUT BUTTERFLY,21,212-222-235,4.57,,-4.20,0.37,61%,14.93,1.10,-7.562,11.04,5/15/2020,5/19/2020
May 18,,,,,,,,,,,,,,,
SPY ,,SHORT CALL VERTICAL,4,300-310,1.15,,-0.90,0.25,75%,-23.51,-3.41,18.582,-8.93,5/18/2020,5/20/2020
May 19,,,,,,,,,,,,,,,
TSLA,,SHORT PUT VERTICAL,3,770-775,1.87,,-0.10,1.77,76%,3.05,-0.06,13.567,-2.32,5/19/2020,5/22/2020
ZM,,SHORT IRON CONDOR,17,167.5-170-185-190,2.73,,-2.60,0.13,64%,-2.32,-0.06,1.975,-0.81,5/19/2020,5/26/20020
May 20,,,,,,,,,,,,,,,
SPY ,,SHORT IRON CONDOR,2,285-290-301-306,0.87,,-0.40,0.47,70%,-7.88,-6.09,29.456,-9.02,2/20/2020,5/21/2020
